City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
331,Mitsamiouli,KM,79.2,clear sky,-11.3847,43.2844,Foyer ADM
346,Jaque,PA,80.8,light rain,7.5175,-78.1703,Aventuras Jaque S.A
349,Tres Lagoas,BR,78.4,scattered clouds,-20.7511,-51.6783,Druds Express Hotel
356,Sola,VU,83.19,scattered clouds,-13.8833,167.55,Leumerus Bungalows
363,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
364,Isabela,PH,77.05,overcast clouds,6.7085,121.9711,Isawad Resort
366,Souillac,MU,77.38,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
367,Takoradi,GH,80.22,few clouds,4.8845,-1.7554,Raybow International Hotel
368,Lamar,US,80.26,broken clouds,33.6668,-95.5836,Kings Inn Paris TX
372,Abasolo,MX,79.52,clear sky,20.45,-101.5167,Hotel y Parque Acuático La Caldera
374,Wamba,NG,75.47,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
380,Dhidhdhoo,MV,80.83,clear sky,6.8833,73.1,Dhidhoo beach
384,Puerto Ayacucho,VE,81.97,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
394,Tabou,CI,80.1,clear sky,4.423,-7.3528,hotêl doufoulougou
396,Itaguai,BR,75.58,broken clouds,-22.8522,-43.7753,It Grande Hotel Itaguai
397,Manicore,BR,77.56,light rain,-5.8092,-61.3003,Hotel Durval
398,Natal,BR,80.15,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
407,Carutapera,BR,77.32,few clouds,-1.195,-46.02,Lidera
408,Itapage,BR,77.13,scattered clouds,-3.6867,-39.5861,Pousada Itajavé
414,Faanui,PF,81.36,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
415,Axim,GH,79.02,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
419,Kulhudhuffushi,MV,81.18,few clouds,6.6221,73.07,Haajy Guest House 1
423,Tamale,GH,80.71,broken clouds,9.4008,-0.8393,Tap Hotel
424,Mattru,SL,75.85,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
425,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Poutur Pousada
428,Salinopolis,BR,79.66,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
